date,team1,team2,venue,toss_winner,toss_decision,match_type,season,winner
2024-03-05,Kuwait,Bahrain,"Bayuemas Oval, Kuala Lumpur",Bahrain,field,T20,2023/24,Bahrain
2024-03-06,Malaysia,Vanuatu,"Bayuemas Oval, Kuala Lumpur",Malaysia,bat,T20,2023/24,Malaysia
2024-03-06,Tanzania,Kuwait,"Bayuemas Oval, Kuala Lumpur",Tanzania,bat,T20,2023/24,Kuwait
2024-03-06,Sri Lanka,Bangladesh,Sylhet International Cricket Stadium,Bangladesh,field,T20,2023/24,Bangladesh
2024-03-06,Papua New Guinea,Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,field,T20,2023/24,Oman
2024-03-07,Vanuatu,Kuwait,"Bayuemas Oval, Kuala Lumpur",Kuwait,field,T20,2023/24,Kuwait
2024-03-07,Malaysia,Bahrain,"Bayuemas Oval, Kuala Lumpur",Bahrain,field,T20,2023/24,Bahrain
2024-03-07,Oman,Papua New Guinea,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Papua New Guinea,field,T20,2023/24,Papua New Guinea
2024-03-08,Papua New Guinea,Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,field,T20,2023/24,Oman
2024-03-09,Kuwait,Malaysia,"Bayuemas Oval, Kuala Lumpur",Malaysia,field,T20,2023/24,Malaysia
2024-03-09,Bahrain,Tanzania,"Bayuemas Oval, Kuala Lumpur",Tanzania,field,T20,2023/24,Bahrain
2024-03-09,Sri Lanka,Bangladesh,Sylhet International Cricket Stadium,Bangladesh,field,T20,2023/24,Sri Lanka
2024-03-09,Hong Kong,Nepal,"Mission Road Ground, Mong Kok, Hong Kong",Nepal,field,T20,2023/24,Hong Kong
2024-03-10,Hong Kong,Nepal,"Mission Road Ground, Mong Kok, Hong Kong",Nepal,field,T20,2023/24,No Result
2024-03-10,Bahrain,Vanuatu,"Bayuemas Oval, Kuala Lumpur",Bahrain,bat,T20,2023/24,Bahrain
2024-03-10,Tanzania,Malaysia,"Bayuemas Oval, Kuala Lumpur",Tanzania,bat,T20,2023/24,Malaysia
2024-03-11,Vanuatu,Kuwait,"Bayuemas Oval, Kuala Lumpur",Kuwait,field,T20,2023/24,Kuwait
2024-03-11,Malaysia,Bahrain,"Bayuemas Oval, Kuala Lumpur",Malaysia,bat,T20,2023/24,Bahrain
2024-03-11,Scotland,United Arab Emirates,Dubai International Cricket Stadium,United Arab Emirates,field,T20,2023/24,United Arab Emirates
2024-03-12,Nepal,Papua New Guinea,"Mission Road Ground, Mong Kok, Hong Kong",Papua New Guinea,field,T20,2023/24,Nepal
2024-03-12,Hong Kong,Papua New Guinea,"Mission Road Ground, Mong Kok, Hong Kong",Hong Kong,bat,T20,2023/24,Papua New Guinea
2024-03-13,Papua New Guinea,Nepal,"Mission Road Ground, Mong Kok, Hong Kong",Nepal,field,T20,2023/24,Papua New Guinea
2024-03-13,Scotland,United Arab Emirates,Dubai International Cricket Stadium,United Arab Emirates,field,T20,2023/24,Scotland
2024-03-14,Scotland,United Arab Emirates,Dubai International Cricket Stadium,United Arab Emirates,field,T20,2023/24,Scotland
2024-03-15,Ireland,Afghanistan,Series (in United Arab Emirates) 2024 1st T20I (N) -Afghanistan v Ireland T20I Series (in United Arab Emirates) 2024 T20I 1ST Sharjah Cricket Stadium,,,T20,2024,Ireland
2024-03-16,Papua New Guinea,Malaysia,"Bayuemas Oval, Kuala Lumpur",Malaysia,field,T20,2023/24,Papua New Guinea
2024-03-17,Zimbabwe,Namibia,"Achimota Senior Secondary School A Field, Accra",Zimbabwe,bat,T20,2023/24,Zimbabwe
2024-03-17,Afghanistan,Ireland,Series (in United Arab Emirates) 2024 2nd T20I (N) -Afghanistan v Ireland T20I Series (in United Arab Emirates) 2024 T20I 2ND Sharjah Cricket Stadium,,,T20,2024,Afghanistan
2024-03-17,South Africa,Ghana,"Achimota Senior Secondary School A Field, Accra",South Africa,bat,T20,2023/24,South Africa
2024-03-17,Malaysia,Papua New Guinea,"Bayuemas Oval, Kuala Lumpur",Malaysia,bat,T20,2023/24,Malaysia
2024-03-17,Uganda,Kenya,"Achimota Senior Secondary School B Field, Accra",Uganda,bat,T20,2023/24,Uganda
2024-03-17,Tanzania,Nigeria,"Achimota Senior Secondary School B Field, Accra",Tanzania,bat,T20,2023/24,Tanzania
2024-03-18,Namibia,Nigeria,"Achimota Senior Secondary School B Field, Accra",Namibia,bat,T20,2023/24,Nigeria
2024-03-18,Tanzania,Zimbabwe,"Achimota Senior Secondary School A Field, Accra",Tanzania,bat,T20,2023/24,Zimbabwe
2024-03-18,Afghanistan,Ireland,Series (in United Arab Emirates) 2024 3rd T20I (N) -Afghanistan v Ireland T20I Series (in United Arab Emirates) 2024 T20I 3RD Sharjah Cricket Stadium,,,T20,2024,Afghanistan
2024-03-18,Uganda,Ghana,"Achimota Senior Secondary School B Field, Accra",Uganda,bat,T20,2023/24,Uganda
2024-03-20,Ghana,Kenya,"Achimota Senior Secondary School B Field, Accra",Ghana,bat,T20,2023/24,Kenya
2024-03-20,Nigeria,Zimbabwe,"Achimota Senior Secondary School A Field, Accra",Nigeria,bat,T20,2023/24,Zimbabwe
2024-03-20,Tanzania,Namibia,"Achimota Senior Secondary School B Field, Accra",Tanzania,bat,T20,2023/24,Namibia
2024-03-21,Namibia,Uganda,"Achimota Senior Secondary School A Field, Accra",Namibia,bat,T20,2023/24,Namibia
2024-03-21,Zimbabwe,Kenya,"Achimota Senior Secondary School A Field, Accra",Zimbabwe,bat,T20,2023/24,Zimbabwe
2024-03-23,Uganda,Kenya,"Achimota Senior Secondary School A Field, Accra",Uganda,bat,T20,2023/24,Uganda
2024-03-23,Namibia,Zimbabwe,"Achimota Senior Secondary School A Field, Accra",Namibia,bat,T20,2023/24,Zimbabwe
2024-04-01,Oman,Namibia,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Namibia,field,T20,2024,Namibia
2024-04-02,Oman,Namibia,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,bat,T20,2024,Oman
2024-04-04,Namibia,Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,field,T20,2024,Oman
2024-04-05,Namibia,Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,field,T20,2024,Namibia
2024-04-07,Canada,United States of America,Prairie View Cricket Complex,United States of America,field,T20,2024,United States of America
2024-04-07,Namibia,Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Namibia,bat,T20,2024,Namibia
2024-04-09,United States of America,Canada,Prairie View Cricket Complex,Canada,field,T20,2024,United States of America
2024-04-12,United States of America,Canada,Prairie View Cricket Complex,Canada,field,T20,2024,United States of America
2024-04-12,Mexico,Costa Rica,Los Reyes Polo Club,Costa Rica,field,T20,2024,Mexico
2024-04-12,Mexico,Costa Rica,Los Reyes Polo Club,Mexico,bat,T20,2024,Mexico
2024-04-12,Hong Kong,Qatar,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Hong Kong,bat,T20,2024,Hong Kong
2024-04-12,Malaysia,Nepal,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Malaysia,bat,T20,2024,Nepal
2024-04-12,Kuwait,United Arab Emirates,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),United Arab Emirates,field,T20,2024,United Arab Emirates
2024-04-12,Oman,Bahrain,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Bahrain,field,T20,2024,Oman
2024-04-13,Costa Rica,Mexico,Los Reyes Polo Club,Costa Rica,bat,T20,2024,Costa Rica
2024-04-13,Cambodia,Kuwait,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Cambodia,bat,T20,2024,Kuwait
2024-04-13,United Arab Emirates,Bahrain,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Bahrain,field,T20,2024,United Arab Emirates
2024-04-13,Nepal,Qatar,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,bat,T20,2024,Nepal
2024-04-13,Malaysia,Saudi Arabia,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Malaysia,bat,T20,2024,Malaysia
2024-04-13,Canada,United States of America,Prairie View Cricket Complex,Canada,bat,T20,2024,United States of America
2024-04-14,Jersey,Spain,La Manga Club Top Ground,Jersey,bat,T20,2024,Spain
2024-04-14,Mexico,Costa Rica,Los Reyes Polo Club,Mexico,bat,T20,2024,Mexico
2024-04-14,Jersey,Spain,La Manga Club Top Ground,Spain,field,T20,2024,Spain
2024-04-14,Oman,Cambodia,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Cambodia,field,T20,2024,Oman
2024-04-14,Saudi Arabia,Hong Kong,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Saudi Arabia,bat,T20,2024,Saudi Arabia
2024-04-15,Hong Kong,Nepal,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,field,T20,2024,Nepal
2024-04-15,Kuwait,Bahrain,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Bahrain,field,T20,2024,Kuwait
2024-04-15,Malaysia,Qatar,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Qatar,field,T20,2024,Qatar
2024-04-15,United Arab Emirates,Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,field,T20,2024,Oman
2024-04-16,Qatar,Saudi Arabia,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Saudi Arabia,field,T20,2024,Qatar
2024-04-16,Cambodia,Bahrain,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Cambodia,bat,T20,2024,Bahrain
2024-04-17,Cambodia,United Arab Emirates,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Cambodia,bat,T20,2024,United Arab Emirates
2024-04-17,Saudi Arabia,Nepal,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Nepal,field,T20,2024,Nepal
2024-04-17,Malaysia,Hong Kong,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Hong Kong,field,T20,2024,Hong Kong
2024-04-17,Oman,Kuwait,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Kuwait,field,T20,2024,Oman
2024-04-18,New Zealand,Pakistan,Rawalpindi Cricket Stadium,New Zealand,bat,T20,2024,No Result
2024-04-19,Nepal,United Arab Emirates,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United Arab Emirates,field,T20,2024,United Arab Emirates
2024-04-19,Hong Kong,Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,field,T20,2024,Oman
2024-04-20,New Zealand,Pakistan,Rawalpindi Cricket Stadium,Pakistan,field,T20,2024,Pakistan
2024-04-20,Nepal,Hong Kong,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,bat,T20,2024,Hong Kong
2024-04-21,United Arab Emirates,Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,field,T20,2024,United Arab Emirates
2024-04-21,Pakistan,New Zealand,Rawalpindi Cricket Stadium,New Zealand,field,T20,2024,New Zealand
2024-04-25,New Zealand,Pakistan,"Gaddafi Stadium, Lahore",Pakistan,field,T20,2024,New Zealand
2024-04-27,Pakistan,New Zealand,"Gaddafi Stadium, Lahore",New Zealand,field,T20,2024,Pakistan
